run_id,pid,start_time,end_time,duration_seconds,gamma,learning_rate,batch_size,epsilon_decay,is_slippery,reward_schedule,seed,avg_final_reward
"gamma_0.85_learning_rate_0.0005_batch_size_64_epsilon_decay_0.95_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_12",4403,2025-11-19T08:14:18.144022,2025-11-19T08:19:10.497881,292.353859,0.85,0.0005,64,0.95,False,"(1, -1, -0.01)",12,0.9499000000000001
"gamma_0.85_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_13",4403,2025-11-19T08:19:11.534693,2025-11-19T08:21:24.513042,132.978349,0.85,0.0005,64,0.99,False,"(1, -1, -0.01)",13,0.9499000000000001
"gamma_0.8_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_3",4402,2025-11-19T08:24:53.774148,2025-11-19T08:28:29.057833,215.283685,0.8,0.001,128,0.99,False,"(1, -1, -0.01)",3,0.9497
"gamma_0.85_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_11",4405,2025-11-19T08:16:32.376812,2025-11-19T08:18:04.562960,92.186148,0.85,0.001,128,0.99,False,"(1, -1, -0.01)",11,0.9497
"gamma_0.85_learning_rate_0.001_batch_size_64_epsilon_decay_0.95_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_8",4404,2025-11-19T08:14:18.122320,2025-11-19T08:25:33.975459,675.853139,0.85,0.001,64,0.95,False,"(1, -1, -0.01)",8,0.9496000000000001
"gamma_0.99_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_37",4402,2025-11-19T08:35:30.298915,2025-11-19T08:36:19.106762,48.807847,0.99,0.0005,64,0.99,False,"(1, -1, -0.01)",37,0.9496000000000001
"gamma_0.95_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_25",4403,2025-11-19T08:25:53.506099,2025-11-19T08:27:52.430265,118.924166,0.95,0.001,64,0.99,False,"(1, -1, -0.01)",25,0.9496000000000001
"gamma_0.9_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_21",4407,2025-11-19T08:20:58.963532,2025-11-19T08:23:29.264726,150.301194,0.9,0.0005,64,0.99,False,"(1, -1, -0.01)",21,0.9496000000000001
"gamma_0.9_learning_rate_0.001_batch_size_64_epsilon_decay_0.95_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_16",4405,2025-11-19T08:18:04.838930,2025-11-19T08:20:05.676662,120.837732,0.9,0.001,64,0.95,False,"(1, -1, -0.01)",16,0.9495
"gamma_0.85_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_15",4406,2025-11-19T08:36:01.280090,2025-11-19T08:36:35.916136,34.636046,0.85,0.0005,128,0.99,False,"(1, -1, -0.01)",15,0.9494
"gamma_0.85_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_9",4404,2025-11-19T08:25:34.854775,2025-11-19T08:28:28.050257,173.195482,0.85,0.001,64,0.99,False,"(1, -1, -0.01)",9,0.9493999999999998
"gamma_0.9_learning_rate_0.0005_batch_size_128_epsilon_decay_0.95_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_22",4412,2025-11-19T08:20:23.805098,2025-11-19T08:22:40.874535,137.069437,0.9,0.0005,128,0.95,False,"(1, -1, -0.01)",22,0.9491999999999998
"gamma_0.8_learning_rate_0.001_batch_size_64_epsilon_decay_0.95_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_0",4412,2025-11-19T08:14:18.095843,2025-11-19T08:17:02.056731,163.960888,0.8,0.001,64,0.95,False,"(1, -1, -0.01)",0,0.9490000000000001
"gamma_0.95_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_27",4405,2025-11-19T08:30:10.341343,2025-11-19T08:32:20.893463,130.55212,0.95,0.001,128,0.99,False,"(1, -1, -0.01)",27,0.9487000000000001
"gamma_0.9_learning_rate_0.001_batch_size_128_epsilon_decay_0.95_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_18",4409,2025-11-19T08:18:24.880260,2025-11-19T08:29:21.097094,656.216834,0.9,0.001,128,0.95,False,"(1, -1, -0.01)",18,0.9458
"gamma_0.99_learning_rate_0.0005_batch_size_128_epsilon_decay_0.95_is_slippery_False_reward_schedule_(1, -1, -0.01)_seed_38",4407,2025-11-19T08:31:16.832260,2025-11-19T08:36:43.079010,326.24675,0.99,0.0005,128,0.95,False,"(1, -1, -0.01)",38,0.9433000000000001
